YEAR,AREA,BD,PROD,DEPTO
2009,Agricultural Sciences,WOS,9,Atlántico
2009,Agricultural Sciences,SCIELO,2,Casanare
2009,Agricultural Sciences,SCOPUS,1,Casanare
2009,Agricultural Sciences,SCOPUS,2,Amazonas
2009,Agricultural Sciences,WOS,1,Amazonas
2009,Engineering and Technology,SCIELO,321,Bogotá
2009,Engineering and Technology,SCOPUS,1621,Bogotá
2009,Engineering and Technology,WOS,899,Bogotá
2009,Engineering and Technology,SCIELO,1,Bolívar
2009,Engineering and Technology,SCOPUS,24,Bolívar
2009,Engineering and Technology,WOS,17,Bolívar
2009,Engineering and Technology,SCIELO,20,Boyacá
2009,Engineering and Technology,SCOPUS,33,Boyacá
2009,Engineering and Technology,WOS,19,Boyacá
2009,Engineering and Technology,SCIELO,6,Caldas
2009,Engineering and Technology,SCOPUS,54,Caldas
2009,Engineering and Technology,WOS,31,Caldas
2009,Engineering and Technology,SCOPUS,10,Caquetá
2009,Engineering and Technology,WOS,5,Caquetá
2009,Engineering and Technology,SCIELO,10,Cauca
2009,Engineering and Technology,SCOPUS,41,Cauca
2009,Engineering and Technology,WOS,19,Cauca
2009,Engineering and Technology,SCIELO,1,Cesar
2009,Engineering and Technology,SCOPUS,4,Cesar
2009,Engineering and Technology,SCOPUS,51,Córdoba
2009,Engineering and Technology,WOS,29,Córdoba
2009,Engineering and Technology,SCIELO,8,Cundinamarca
2009,Engineering and Technology,SCOPUS,46,Cundinamarca
2009,Engineering and Technology,WOS,24,Cundinamarca
2009,Engineering and Technology,SCOPUS,4,Chocó
2009,Engineering and Technology,WOS,3,Chocó
2009,Engineering and Technology,SCIELO,3,Huila
2009,Engineering and Technology,SCOPUS,7,Huila
2009,Engineering and Technology,WOS,3,Huila
2009,Engineering and Technology,SCOPUS,1,Guajira
2009,Engineering and Technology,SCIELO,6,Magdalena
2009,Engineering and Technology,SCOPUS,33,Magdalena
2009,Engineering and Technology,WOS,21,Magdalena
2009,Engineering and Technology,SCIELO,121,Antioquia
2009,Engineering and Technology,SCOPUS,568,Antioquia
2009,Engineering and Technology,WOS,379,Antioquia
2009,Engineering and Technology,SCOPUS,7,Meta
2009,Engineering and Technology,WOS,3,Meta
2009,Engineering and Technology,SCIELO,4,Nariño
2009,Engineering and Technology,SCOPUS,17,Nariño
2009,Engineering and Technology,WOS,14,Nariño
2009,Engineering and Technology,SCIELO,4,Norte de Santander
2009,Engineering and Technology,SCOPUS,23,Norte de Santander
2009,Engineering and Technology,WOS,12,Norte de Santander
2009,Engineering and Technology,SCIELO,6,Quindío
2009,Engineering and Technology,SCOPUS,44,Quindío
2009,Engineering and Technology,WOS,27,Quindío
2009,Engineering and Technology,SCIELO,15,Risaralda
2009,Engineering and Technology,SCOPUS,50,Risaralda
2009,Engineering and Technology,WOS,26,Risaralda
2009,Engineering and Technology,SCIELO,34,Santander
2009,Engineering and Technology,SCOPUS,185,Santander
2009,Engineering and Technology,WOS,118,Santander
2009,Engineering and Technology,SCIELO,1,Sucre
2009,Engineering and Technology,SCOPUS,15,Sucre
2009,Engineering and Technology,WOS,5,Sucre
2009,Engineering and Technology,SCIELO,4,Tolima
2009,Engineering and Technology,SCOPUS,31,Tolima
2009,Engineering and Technology,WOS,22,Tolima
2009,Engineering and Technology,SCIELO,47,Valle del Cauca
2009,Engineering and Technology,SCOPUS,366,Valle del Cauca
2009,Engineering and Technology,WOS,257,Valle del Cauca
2009,Engineering and Technology,SCIELO,9,Atlántico
2009,Engineering and Technology,SCOPUS,70,Atlántico
2009,Engineering and Technology,WOS,23,Atlántico
2009,Engineering and Technology,SCIELO,1,Casanare
2009,Engineering and Technology,SCOPUS,1,Casanare
2009,Engineering and Technology,SCOPUS,3,Amazonas
2009,Engineering and Technology,WOS,2,Amazonas
2009,Engineering and Technology,SCOPUS,1,Guaviare
2009,Engineering and Technology,WOS,1,Guaviare
2009,Humanities,SCIELO,223,Bogotá
2009,Humanities,SCOPUS,649,Bogotá
2009,Humanities,WOS,374,Bogotá
2009,Humanities,SCOPUS,6,Bolívar
2009,Humanities,WOS,3,Bolívar
2009,Humanities,SCIELO,15,Boyacá
2009,Humanities,SCOPUS,16,Boyacá
2009,Humanities,WOS,9,Boyacá
2009,Humanities,SCIELO,17,Caldas
2009,Humanities,SCOPUS,19,Caldas
2009,Humanities,WOS,11,Caldas
2009,Humanities,SCOPUS,1,Caquetá
2009,Humanities,SCIELO,4,Cauca
2009,Humanities,SCOPUS,17,Cauca
2009,Humanities,WOS,10,Cauca
2009,Humanities,SCOPUS,3,Cesar
2009,Humanities,SCOPUS,10,Córdoba
2009,Humanities,SCIELO,5,Cundinamarca
2009,Humanities,SCOPUS,12,Cundinamarca
2009,Humanities,WOS,3,Cundinamarca
2009,Humanities,SCIELO,1,Huila
2009,Humanities,SCOPUS,2,Huila
2009,Humanities,SCOPUS,1,Guajira
2009,Humanities,SCIELO,2,Magdalena
2009,Humanities,SCOPUS,10,Magdalena
2009,Humanities,WOS,3,Magdalena
2009,Humanities,SCIELO,52,Antioquia
2009,Humanities,SCOPUS,201,Antioquia
2009,Humanities,WOS,110,Antioquia
2009,Humanities,SCIELO,1,Meta
2009,Humanities,SCOPUS,1,Meta
2009,Humanities,WOS,1,Meta
2009,Humanities,SCIELO,2,Nariño
2009,Humanities,SCOPUS,3,Nariño
2009,Humanities,WOS,2,Nariño
2009,Humanities,SCOPUS,11,Norte de Santander
2009,Humanities,WOS,5,Norte de Santander
2009,Humanities,SCIELO,2,Quindío
2009,Humanities,SCOPUS,6,Quindío
2009,Humanities,WOS,4,Quindío
2009,Humanities,SCIELO,4,Risaralda
2009,Humanities,SCOPUS,35,Risaralda
2009,Humanities,WOS,16,Risaralda
2009,Humanities,SCIELO,6,Santander
2009,Humanities,SCOPUS,57,Santander
2009,Humanities,WOS,28,Santander
2009,Humanities,SCIELO,1,Sucre
2009,Humanities,SCOPUS,1,Sucre
2009,Humanities,SCIELO,6,Tolima
2009,Humanities,SCOPUS,3,Tolima
2009,Humanities,WOS,3,Tolima
2009,Humanities,SCIELO,24,Valle del Cauca
2009,Humanities,SCOPUS,114,Valle del Cauca
2009,Humanities,WOS,71,Valle del Cauca
2009,Humanities,SCIELO,10,Atlántico
2009,Humanities,SCOPUS,33,Atlántico
2009,Humanities,WOS,6,Atlántico
2009,Medical and Health Sciences,SCIELO,578,Bogotá
2009,Medical and Health Sciences,SCOPUS,1193,Bogotá
2009,Medical and Health Sciences,WOS,773,Bogotá
2009,Medical and Health Sciences,SCIELO,11,Bolívar
2009,Medical and Health Sciences,SCOPUS,45,Bolívar
2009,Medical and Health Sciences,WOS,36,Bolívar
2009,Medical and Health Sciences,SCIELO,14,Boyacá
2009,Medical and Health Sciences,SCOPUS,13,Boyacá
2009,Medical and Health Sciences,WOS,5,Boyacá
2009,Medical and Health Sciences,SCIELO,55,Caldas
2009,Medical and Health Sciences,SCOPUS,41,Caldas
2009,Medical and Health Sciences,WOS,25,Caldas
2009,Medical and Health Sciences,SCOPUS,2,Caquetá
2009,Medical and Health Sciences,WOS,1,Caquetá
2009,Medical and Health Sciences,SCIELO,6,Cauca
2009,Medical and Health Sciences,SCOPUS,18,Cauca
2009,Medical and Health Sciences,WOS,11,Cauca
2009,Medical and Health Sciences,SCOPUS,1,Cesar
2009,Medical and Health Sciences,SCIELO,3,Córdoba
2009,Medical and Health Sciences,SCOPUS,19,Córdoba
2009,Medical and Health Sciences,WOS,20,Córdoba
2009,Medical and Health Sciences,SCIELO,32,Cundinamarca
2009,Medical and Health Sciences,SCOPUS,44,Cundinamarca
2009,Medical and Health Sciences,WOS,26,Cundinamarca
2009,Medical and Health Sciences,SCIELO,1,Chocó
2009,Medical and Health Sciences,SCOPUS,3,Chocó
2009,Medical and Health Sciences,WOS,6,Chocó
2009,Medical and Health Sciences,SCIELO,3,Huila
2009,Medical and Health Sciences,SCOPUS,6,Huila
2009,Medical and Health Sciences,WOS,2,Huila
2009,Medical and Health Sciences,SCIELO,2,Magdalena
2009,Medical and Health Sciences,SCOPUS,11,Magdalena
2009,Medical and Health Sciences,WOS,4,Magdalena
2009,Medical and Health Sciences,SCIELO,292,Antioquia
2009,Medical and Health Sciences,SCOPUS,476,Antioquia
2009,Medical and Health Sciences,WOS,349,Antioquia
2009,Medical and Health Sciences,SCIELO,5,Meta
2009,Medical and Health Sciences,SCOPUS,3,Meta
2009,Medical and Health Sciences,WOS,1,Meta
2009,Medical and Health Sciences,SCIELO,2,Nariño
2009,Medical and Health Sciences,SCOPUS,4,Nariño
2009,Medical and Health Sciences,WOS,5,Nariño
2009,Medical and Health Sciences,SCIELO,4,Norte de Santander
2009,Medical and Health Sciences,SCOPUS,11,Norte de Santander
2009,Medical and Health Sciences,WOS,8,Norte de Santander
2009,Medical and Health Sciences,SCIELO,20,Quindío
2009,Medical and Health Sciences,SCOPUS,23,Quindío
2009,Medical and Health Sciences,WOS,21,Quindío
2009,Medical and Health Sciences,SCIELO,16,Risaralda
2009,Medical and Health Sciences,SCOPUS,22,Risaralda
2009,Medical and Health Sciences,WOS,12,Risaralda
2009,Medical and Health Sciences,SCIELO,83,Santander
2009,Medical and Health Sciences,SCOPUS,149,Santander
2009,Medical and Health Sciences,WOS,100,Santander
2009,Medical and Health Sciences,SCIELO,2,Sucre
2009,Medical and Health Sciences,SCOPUS,3,Sucre
2009,Medical and Health Sciences,WOS,2,Sucre
2009,Medical and Health Sciences,SCIELO,6,Tolima
2009,Medical and Health Sciences,SCOPUS,23,Tolima
2009,Medical and Health Sciences,WOS,18,Tolima
2009,Medical and Health Sciences,SCIELO,92,Valle del Cauca
2009,Medical and Health Sciences,SCOPUS,281,Valle del Cauca
2009,Medical and Health Sciences,WOS,190,Valle del Cauca
2009,Medical and Health Sciences,SCIELO,41,Atlántico
2009,Medical and Health Sciences,SCOPUS,65,Atlántico
2009,Medical and Health Sciences,WOS,29,Atlántico
2009,Medical and Health Sciences,SCIELO,1,Casanare
2009,Medical and Health Sciences,SCOPUS,1,Casanare
2009,Medical and Health Sciences,SCIELO,1,Amazonas
2009,Medical and Health Sciences,SCOPUS,2,Amazonas
2009,Medical and Health Sciences,WOS,2,Amazonas
2009,Medical and Health Sciences,SCIELO,1,Guaviare
2009,Medical and Health Sciences,SCOPUS,1,Guaviare
2009,Medical and Health Sciences,WOS,1,Guaviare
2009,Multidisciplinary,SCIELO,561,Bogotá
2009,Multidisciplinary,SCOPUS,32,Bogotá
2009,Multidisciplinary,WOS,28,Bogotá
2009,Multidisciplinary,SCIELO,4,Bolívar
2009,Multidisciplinary,SCOPUS,1,Bolívar
2009,Multidisciplinary,SCIELO,42,Boyacá
2009,Multidisciplinary,SCOPUS,2,Boyacá
2009,Multidisciplinary,WOS,1,Boyacá
2009,Multidisciplinary,SCIELO,27,Caldas
2009,Multidisciplinary,SCOPUS,2,Caldas
2009,Multidisciplinary,SCIELO,26,Cauca
2009,Multidisciplinary,SCIELO,4,Cesar
2009,Multidisciplinary,SCIELO,3,Córdoba
2009,Multidisciplinary,SCIELO,21,Cundinamarca
2009,Multidisciplinary,SCOPUS,1,Cundinamarca
2009,Multidisciplinary,WOS,1,Cundinamarca
2009,Multidisciplinary,SCIELO,1,Chocó
2009,Multidisciplinary,SCIELO,6,Huila
2009,Multidisciplinary,SCOPUS,2,Huila
2009,Multidisciplinary,WOS,2,Huila
2009,Multidisciplinary,SCIELO,10,Magdalena
2009,Multidisciplinary,SCOPUS,1,Magdalena
2009,Multidisciplinary,WOS,1,Magdalena
2009,Multidisciplinary,SCIELO,177,Antioquia
2009,Multidisciplinary,SCOPUS,13,Antioquia
2009,Multidisciplinary,WOS,14,Antioquia
2009,Multidisciplinary,SCIELO,8,Meta
2009,Multidisciplinary,SCIELO,11,Nariño
2009,Multidisciplinary,SCIELO,3,Norte de Santander
2009,Multidisciplinary,SCIELO,6,Quindío
2009,Multidisciplinary,SCIELO,17,Risaralda
2009,Multidisciplinary,SCOPUS,2,Risaralda
2009,Multidisciplinary,WOS,2,Risaralda
2009,Multidisciplinary,SCIELO,38,Santander
2009,Multidisciplinary,SCOPUS,9,Santander
2009,Multidisciplinary,WOS,9,Santander
2009,Multidisciplinary,SCIELO,5,Sucre
2009,Multidisciplinary,SCIELO,11,Tolima
2009,Multidisciplinary,SCOPUS,1,Tolima
2009,Multidisciplinary,WOS,1,Tolima
2009,Multidisciplinary,SCIELO,81,Valle del Cauca
2009,Multidisciplinary,SCOPUS,5,Valle del Cauca
2009,Multidisciplinary,WOS,6,Valle del Cauca
2009,Multidisciplinary,SCIELO,19,Atlántico
2009,Natural Sciences,SCIELO,418,Bogotá
2009,Natural Sciences,SCOPUS,1696,Bogotá
2009,Natural Sciences,WOS,1028,Bogotá
2009,Natural Sciences,SCIELO,2,Bolívar
2009,Natural Sciences,SCOPUS,46,Bolívar
2009,Natural Sciences,WOS,18,Bolívar
2009,Natural Sciences,SCIELO,22,Boyacá
2009,Natural Sciences,SCOPUS,30,Boyacá
2009,Natural Sciences,WOS,16,Boyacá
2009,Natural Sciences,SCIELO,29,Caldas
2009,Natural Sciences,SCOPUS,59,Caldas
2009,Natural Sciences,WOS,36,Caldas
2009,Natural Sciences,SCIELO,2,Caquetá
2009,Natural Sciences,SCOPUS,9,Caquetá
2009,Natural Sciences,WOS,4,Caquetá
2009,Natural Sciences,SCIELO,18,Cauca
2009,Natural Sciences,SCOPUS,36,Cauca
2009,Natural Sciences,WOS,13,Cauca
2009,Natural Sciences,SCIELO,3,Cesar
2009,Natural Sciences,SCOPUS,4,Cesar
2009,Natural Sciences,SCIELO,2,Córdoba
2009,Natural Sciences,SCOPUS,59,Córdoba
2009,Natural Sciences,WOS,38,Córdoba
2009,Natural Sciences,SCIELO,21,Cundinamarca
2009,Natural Sciences,SCOPUS,67,Cundinamarca
2009,Natural Sciences,WOS,31,Cundinamarca
2009,Natural Sciences,SCIELO,2,Chocó
2009,Natural Sciences,SCOPUS,4,Chocó
2009,Natural Sciences,WOS,6,Chocó
2009,Natural Sciences,SCIELO,3,Huila
2009,Natural Sciences,SCOPUS,9,Huila
2009,Natural Sciences,WOS,3,Huila
2009,Natural Sciences,SCOPUS,1,Guajira
2009,Natural Sciences,SCIELO,15,Magdalena
2009,Natural Sciences,SCOPUS,29,Magdalena
2009,Natural Sciences,WOS,20,Magdalena
2009,Natural Sciences,SCIELO,130,Antioquia
2009,Natural Sciences,SCOPUS,666,Antioquia
2009,Natural Sciences,WOS,427,Antioquia
2009,Natural Sciences,SCIELO,7,Meta
2009,Natural Sciences,SCOPUS,9,Meta
2009,Natural Sciences,WOS,4,Meta
2009,Natural Sciences,SCIELO,8,Nariño
2009,Natural Sciences,SCOPUS,16,Nariño
2009,Natural Sciences,WOS,15,Nariño
2009,Natural Sciences,SCIELO,2,Norte de Santander
2009,Natural Sciences,SCOPUS,23,Norte de Santander
2009,Natural Sciences,WOS,13,Norte de Santander
2009,Natural Sciences,SCIELO,15,Quindío
2009,Natural Sciences,SCOPUS,53,Quindío
2009,Natural Sciences,WOS,34,Quindío
2009,Natural Sciences,SCIELO,5,Risaralda
2009,Natural Sciences,SCOPUS,35,Risaralda
2009,Natural Sciences,WOS,16,Risaralda
2009,Natural Sciences,SCIELO,25,Santander
2009,Natural Sciences,SCOPUS,203,Santander
2009,Natural Sciences,WOS,140,Santander
2009,Natural Sciences,SCIELO,13,Sucre
2009,Natural Sciences,SCOPUS,15,Sucre
2009,Natural Sciences,WOS,6,Sucre
2009,Natural Sciences,SCIELO,7,Tolima
2009,Natural Sciences,SCOPUS,36,Tolima
2009,Natural Sciences,WOS,24,Tolima
2009,Natural Sciences,SCIELO,56,Valle del Cauca
2009,Natural Sciences,SCOPUS,421,Valle del Cauca
2009,Natural Sciences,WOS,293,Valle del Cauca
2009,Natural Sciences,SCIELO,4,Atlántico
2009,Natural Sciences,SCOPUS,77,Atlántico
2009,Natural Sciences,WOS,32,Atlántico
2009,Natural Sciences,SCIELO,1,Casanare
2009,Natural Sciences,SCOPUS,1,Casanare
2009,Natural Sciences,SCOPUS,3,Amazonas
2009,Natural Sciences,WOS,2,Amazonas
2009,Natural Sciences,SCOPUS,1,Guaviare
2009,Natural Sciences,WOS,1,Guaviare
2009,Social Sciences,SCIELO,494,Bogotá
2009,Social Sciences,SCOPUS,562,Bogotá
2009,Social Sciences,WOS,337,Bogotá
2009,Social Sciences,SCIELO,15,Bolívar
2009,Social Sciences,SCOPUS,11,Bolívar
2009,Social Sciences,WOS,20,Bolívar
2009,Social Sciences,SCIELO,20,Boyacá
2009,Social Sciences,SCOPUS,6,Boyacá
2009,Social Sciences,WOS,2,Boyacá
2009,Social Sciences,SCIELO,30,Caldas
2009,Social Sciences,SCOPUS,16,Caldas
2009,Social Sciences,WOS,10,Caldas
2009,Social Sciences,SCIELO,1,Caquetá
2009,Social Sciences,SCOPUS,1,Caquetá
2009,Social Sciences,SCIELO,7,Cauca
2009,Social Sciences,SCOPUS,5,Cauca
2009,Social Sciences,WOS,4,Cauca
2009,Social Sciences,SCIELO,1,Cesar
2009,Social Sciences,SCOPUS,2,Cesar
2009,Social Sciences,SCIELO,1,Córdoba
2009,Social Sciences,SCOPUS,9,Córdoba
2009,Social Sciences,SCIELO,24,Cundinamarca
2009,Social Sciences,SCOPUS,19,Cundinamarca
2009,Social Sciences,WOS,7,Cundinamarca
2009,Social Sciences,SCIELO,3,Huila
2009,Social Sciences,SCOPUS,1,Huila
2009,Social Sciences,SCIELO,9,Magdalena
2009,Social Sciences,SCOPUS,7,Magdalena
2009,Social Sciences,WOS,1,Magdalena
2009,Social Sciences,SCIELO,151,Antioquia
2009,Social Sciences,SCOPUS,132,Antioquia
2009,Social Sciences,WOS,76,Antioquia
2009,Social Sciences,SCIELO,1,Meta
2009,Social Sciences,SCOPUS,1,Meta
2009,Social Sciences,SCIELO,3,Nariño
2009,Social Sciences,SCOPUS,1,Nariño
2009,Social Sciences,SCIELO,3,Norte de Santander
2009,Social Sciences,SCOPUS,5,Norte de Santander
2009,Social Sciences,WOS,2,Norte de Santander
2009,Social Sciences,SCIELO,4,Quindío
2009,Social Sciences,SCOPUS,6,Quindío
2009,Social Sciences,WOS,3,Quindío
2009,Social Sciences,SCIELO,7,Risaralda
2009,Social Sciences,SCOPUS,8,Risaralda
2009,Social Sciences,WOS,4,Risaralda
2009,Social Sciences,SCIELO,35,Santander
2009,Social Sciences,SCOPUS,33,Santander
2009,Social Sciences,WOS,10,Santander
2009,Social Sciences,SCIELO,3,Sucre
2009,Social Sciences,SCIELO,9,Tolima
2009,Social Sciences,SCOPUS,8,Tolima
2009,Social Sciences,WOS,7,Tolima
2009,Social Sciences,SCIELO,74,Valle del Cauca
2009,Social Sciences,SCOPUS,99,Valle del Cauca
2009,Social Sciences,WOS,62,Valle del Cauca
2009,Social Sciences,SCIELO,61,Atlántico
2009,Social Sciences,SCOPUS,30,Atlántico
2009,Social Sciences,WOS,8,Atlántico
2010,Agricultural Sciences,SCIELO,237,Bogotá
2010,Agricultural Sciences,SCOPUS,467,Bogotá
2010,Agricultural Sciences,WOS,326,Bogotá
2010,Agricultural Sciences,SCOPUS,12,Bolívar
2010,Agricultural Sciences,WOS,8,Bolívar
2010,Agricultural Sciences,SCIELO,14,Boyacá
2010,Agricultural Sciences,SCOPUS,14,Boyacá
2010,Agricultural Sciences,WOS,9,Boyacá
2010,Agricultural Sciences,SCIELO,11,Caldas
2010,Agricultural Sciences,SCOPUS,30,Caldas
2010,Agricultural Sciences,WOS,25,Caldas
2010,Agricultural Sciences,SCIELO,1,Caquetá
2010,Agricultural Sciences,SCOPUS,10,Caquetá
2010,Agricultural Sciences,WOS,5,Caquetá
2010,Agricultural Sciences,SCIELO,19,Cauca
2010,Agricultural Sciences,SCOPUS,10,Cauca
2010,Agricultural Sciences,WOS,8,Cauca
2010,Agricultural Sciences,SCOPUS,2,Cesar
2010,Agricultural Sciences,SCIELO,3,Córdoba
2010,Agricultural Sciences,SCOPUS,25,Córdoba
2010,Agricultural Sciences,WOS,18,Córdoba
2010,Agricultural Sciences,SCIELO,22,Cundinamarca
2010,Agricultural Sciences,SCOPUS,29,Cundinamarca
2010,Agricultural Sciences,WOS,37,Cundinamarca
2010,Agricultural Sciences,SCOPUS,6,Chocó
2010,Agricultural Sciences,WOS,2,Chocó
2010,Agricultural Sciences,SCIELO,1,Huila
2010,Agricultural Sciences,SCOPUS,1,Huila
2010,Agricultural Sciences,WOS,1,Huila
2010,Agricultural Sciences,SCIELO,1,Guajira
2010,Agricultural Sciences,SCIELO,10,Magdalena
2010,Agricultural Sciences,SCOPUS,38,Magdalena
2010,Agricultural Sciences,WOS,21,Magdalena
2010,Agricultural Sciences,SCIELO,45,Antioquia
2010,Agricultural Sciences,SCOPUS,140,Antioquia
2010,Agricultural Sciences,WOS,118,Antioquia
2010,Agricultural Sciences,SCIELO,7,Meta
2010,Agricultural Sciences,SCOPUS,9,Meta
2010,Agricultural Sciences,WOS,6,Meta
2010,Agricultural Sciences,SCIELO,7,Nariño
2010,Agricultural Sciences,SCOPUS,13,Nariño
2010,Agricultural Sciences,WOS,12,Nariño
2010,Agricultural Sciences,SCIELO,3,Norte de Santander
2010,Agricultural Sciences,SCOPUS,5,Norte de Santander
2010,Agricultural Sciences,WOS,2,Norte de Santander
2010,Agricultural Sciences,SCIELO,1,Quindío
2010,Agricultural Sciences,SCOPUS,19,Quindío
2010,Agricultural Sciences,WOS,9,Quindío
2010,Agricultural Sciences,SCIELO,1,Risaralda
2010,Agricultural Sciences,SCOPUS,3,Risaralda
2010,Agricultural Sciences,WOS,2,Risaralda
2010,Agricultural Sciences,SCIELO,3,Santander
2010,Agricultural Sciences,SCOPUS,34,Santander
2010,Agricultural Sciences,WOS,18,Santander
2010,Agricultural Sciences,SCIELO,6,Sucre
2010,Agricultural Sciences,SCOPUS,12,Sucre
2010,Agricultural Sciences,WOS,10,Sucre
2010,Agricultural Sciences,SCIELO,3,Tolima
2010,Agricultural Sciences,SCOPUS,20,Tolima
2010,Agricultural Sciences,WOS,10,Tolima
2010,Agricultural Sciences,SCIELO,43,Valle del Cauca
2010,Agricultural Sciences,SCOPUS,140,Valle del Cauca
2010,Agricultural Sciences,WOS,103,Valle del Cauca
2010,Agricultural Sciences,SCOPUS,12,Atlántico
2010,Agricultural Sciences,WOS,5,Atlántico
2010,Agricultural Sciences,SCIELO,2,San Andrés y Providencia
2010,Agricultural Sciences,SCOPUS,4,San Andrés y Providencia
2010,Agricultural Sciences,WOS,3,San Andrés y Providencia
2010,Agricultural Sciences,SCOPUS,1,Amazonas
2010,Agricultural Sciences,WOS,1,Amazonas
2010,Agricultural Sciences,SCOPUS,1,Vichada
2010,Agricultural Sciences,WOS,1,Vichada
2010,Engineering and Technology,SCIELO,364,Bogotá
2010,Engineering and Technology,SCOPUS,2034,Bogotá
2010,Engineering and Technology,WOS,1116,Bogotá
2010,Engineering and Technology,SCIELO,3,Bolívar
2010,Engineering and Technology,SCOPUS,39,Bolívar
2010,Engineering and Technology,WOS,28,Bolívar
2010,Engineering and Technology,SCIELO,18,Boyacá
2010,Engineering and Technology,SCOPUS,43,Boyacá
2010,Engineering and Technology,WOS,23,Boyacá
2010,Engineering and Technology,SCIELO,12,Caldas
2010,Engineering and Technology,SCOPUS,62,Caldas
2010,Engineering and Technology,WOS,36,Caldas
2010,Engineering and Technology,SCIELO,1,Caquetá
2010,Engineering and Technology,SCOPUS,10,Caquetá
2010,Engineering and Technology,WOS,5,Caquetá
2010,Engineering and Technology,SCIELO,20,Cauca
2010,Engineering and Technology,SCOPUS,72,Cauca
2010,Engineering and Technology,WOS,30,Cauca
2010,Engineering and Technology,SCIELO,3,Cesar
2010,Engineering and Technology,SCOPUS,3,Cesar
2010,Engineering and Technology,SCIELO,4,Córdoba
2010,Engineering and Technology,SCOPUS,45,Córdoba
2010,Engineering and Technology,WOS,27,Córdoba
2010,Engineering and Technology,SCIELO,18,Cundinamarca
2010,Engineering and Technology,SCOPUS,63,Cundinamarca
2010,Engineering and Technology,WOS,56,Cundinamarca
2010,Engineering and Technology,SCOPUS,6,Chocó
2010,Engineering and Technology,WOS,2,Chocó
2010,Engineering and Technology,SCIELO,6,Huila
2010,Engineering and Technology,SCOPUS,13,Huila
2010,Engineering and Technology,WOS,11,Huila
2010,Engineering and Technology,SCIELO,3,Guajira
